,Name,OnDisk,NbReplicas
2160,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/90000000/PID.MDST,1,4.0
506,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/90000000/RADIATIVE.DST,0,1.0
1057,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/90000000/SEMILEPTONIC.DST,1,4.0
3829,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/Indexed/90000000/INDEX.ROOT,0,1.0
1209,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/WG-EW-Selection/Merging/90000000/EWHIGHPTMULINES.DST,0,1.0
4529,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/WG-EW-Selection/Merging/90000000/ZMUMULINE.DST,0,1.0
1929,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/WGBandQSelection3/90000000/BOTTOM.MDST,0,1.0
4012,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/WGBandQSelection3/90000000/PSIX.MDST,0,1.0
3234,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/WGBandQSelection3/90000000/PSIX0.MDST,0,1.0
4834,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/WGBandQSelection4-1/90000000/BOTTOM.MDST,1,1.0
3510,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/WGBandQSelection4-1/90000000/PSIX.MDST,1,1.0
2609,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/WGBandQSelection4-1/90000000/PSIX0.MDST,0,1.0
1827,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/WGBandQSelection5/90000000/BOTTOM.MDST,1,2.0
3008,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/WGBandQSelection5/90000000/PSIX.MDST,1,4.0
4948,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/WGBandQSelection5/90000000/PSIX0.MDST,1,4.0
3753,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/WGBandQSelection6/90000000/BOTTOM.MDST,0,1.0
1022,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/WGBandQSelection6/90000000/PSIX.MDST,1,3.0
4702,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/WGBandQSelection6/90000000/PSIX0.MDST,0,1.0
3958,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/WGBandQSelection7/90000000/BOTTOM.MDST,0,1.0
1977,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/WGBandQSelection7/90000000/PSIX.MDST,1,4.0
160,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/WGBandQSelection7/90000000/PSIX0.MDST,1,1.0
758,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/WGBandQSelection8/90000000/BOTTOM.MDST,1,2.0
4085,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/WGBandQSelection8/90000000/PSIX.MDST,1,4.0
494,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1/WGBandQSelection8/90000000/PSIX0.MDST,1,4.0
4188,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1p1/90000000/BHADRON.MDST,1,4.0
1108,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1p1/90000000/BHADRONCOMPLETEEVENT.DST,1,4.0
1938,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1p1/90000000/CHARM.MDST,1,4.0
2838,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1p1/90000000/CHARMCOMPLETEEVENT.DST,1,1.0
